annee,adresse,nb_logements,dept,conso_totale_kwh,conso_par_logement_kwh,code_iris,nom_commune,lat,lon,score,ban_id,classe_dpe_modale,nb_dpe,surface_med,pct_elec_chauffage,conso_5_usages_par_m2_med,conso_reelle_par_m2,conso_estimee_med,ecart_estime_vs_reel,ecart_pct
2020,3 RUE LIOUVILLE,26,92.0,81995.0,3153.653846153846,920040501,Asnières-sur-Seine,48.914151,2.294176,0.9633381818181816,92004_5160_00003,F,1,20.0,100.0,238.6,157.68269230769232,4772.0,1618.3461538461538,51.3
2022,3 RUE LIOUVILLE,25,92.0,70771.0,2830.84,920040501,Asnières-sur-Seine,48.914151,2.294176,0.9633381818181816,92004_5160_00003,F,1,20.0,100.0,238.6,141.542,4772.0,1941.1599999999999,68.6
2023,3 RUE LIOUVILLE,26,92.0,78163.0,3006.269230769231,920040501,Asnières-sur-Seine,48.914151,2.294176,0.9633381818181816,92004_5160_00003,F,1,20.0,100.0,238.6,150.31346153846155,4772.0,1765.730769230769,58.7
2024,3 RUE LIOUVILLE,26,92.0,82041.0,3155.423076923077,920040501,Asnières-sur-Seine,48.914151,2.294176,0.9633381818181816,92004_5160_00003,F,1,20.0,100.0,238.6,157.77115384615385,4772.0,1616.5769230769229,51.2
2019,19 RUE ANDRE ET MARIE LOUISE ROURE,11,92.0,16918.0,1538.0,920090112,Bois-Colombes,48.911389,2.257768,0.9634636363636362,92009_0048_00019,G,1,24.1,0.0,583.0,63.81742738589211,14050.300000000001,12512.300000000001,813.5
2021,19 RUE ANDRE ET MARIE LOUISE ROURE,12,92.0,17008.0,1417.3333333333333,920090112,Bois-Colombes,48.911389,2.257768,0.9634636363636362,92009_0048_00019,G,1,24.1,0.0,583.0,58.81051175656984,14050.300000000001,12632.966666666667,891.3
2020,19 RUE ANDRE ET MARIE LOUISE ROURE,11,92.0,20398.0,1854.3636363636365,920090112,Bois-Colombes,48.911389,2.257768,0.9634636363636362,92009_0048_00019,G,1,24.1,0.0,583.0,76.9445492267069,14050.300000000001,12195.936363636365,657.7
2022,19 RUE ANDRE ET MARIE LOUISE ROURE,12,92.0,15614.0,1301.1666666666667,920090112,Bois-Colombes,48.911389,2.257768,0.9634636363636362,92009_0048_00019,G,1,24.1,0.0,583.0,53.99031811894882,14050.300000000001,12749.133333333335,979.8
2023,19 RUE ANDRE ET MARIE LOUISE ROURE,12,92.0,17353.0,1446.0833333333333,920090112,Bois-Colombes,48.911389,2.257768,0.9634636363636362,92009_0048_00019,G,1,24.1,0.0,583.0,60.003457814661125,14050.300000000001,12604.216666666667,871.6
2024,19 RUE ANDRE ET MARIE LOUISE ROURE,11,92.0,15551.0,1413.7272727272727,920090112,Bois-Colombes,48.911389,2.257768,0.9634636363636362,92009_0048_00019,G,1,24.1,0.0,583.0,58.66088268577895,14050.300000000001,12636.572727272729,893.8
