lat,lon,year,dpe_class,adresse,consumption_kwh,surface_m2,num_dpe_records
48.823728,2.243815,2023,E,21 QUAI DE STALINGRAD,3407.6521739130435,37.0,1
48.832664,2.243921,2021,F,206 BOULEVARD JEAN JAURES,1569.4166666666667,31.5,1
48.835611,2.232722,2022,C,197 RUE GALLIENI,8315.15,82.9,1
48.832664,2.243921,2020,F,206 BOULEVARD JEAN JAURES,1562.5833333333333,31.5,1
48.845187,2.237309,2020,E,5 BOULEVARD JEAN JAURES,3033.230769230769,49.6,1
48.832664,2.243921,2022,F,206 BOULEVARD JEAN JAURES,1506.9,31.5,1
48.828856,2.246878,2023,C,107 RUE DU POINT DU JOUR,1582.111111111111,62.8,1
48.835611,2.232722,2023,C,197 RUE GALLIENI,7858.4,82.9,1
48.845187,2.237309,2023,E,5 BOULEVARD JEAN JAURES,2853.2,49.6,1
48.832664,2.243921,2023,F,206 BOULEVARD JEAN JAURES,1467.0,31.5,1
48.838056,2.234436,2024,C,76 AVENUE ANDRE MORIZET,5132.909090909091,57.8,1
48.920215,2.239544,2024,C,109 RUE DE BELLEVUE,952.0582524271844,60.2,1
48.838991,2.242614,2024,F,6 RUE DE LA BELLE FEUILLE,2165.0344827586205,129.0,1
48.833805,2.228557,2024,E,56 RUE DE SEVRES,1558.9268292682927,80.9,1
48.834833,2.22804,2024,F,42 RUE DE SEVRES,1110.673076923077,35.1,1
48.823728,2.243815,2024,E,21 QUAI DE STALINGRAD,3338.6666666666665,37.0,1
48.828856,2.246878,2024,C,107 RUE DU POINT DU JOUR,1689.611111111111,62.8,1
48.835611,2.232722,2024,C,197 RUE GALLIENI,7407.857142857143,82.9,1
48.845187,2.237309,2024,E,5 BOULEVARD JEAN JAURES,2984.083333333333,49.6,1
48.832664,2.243921,2024,F,206 BOULEVARD JEAN JAURES,1255.6666666666667,31.5,1
48.809563,2.191133,2019,D,2 RUE DE LA BATAILLE DE STALINGRAD,1494.7441860465117,79.6,1
48.804901,2.181711,2019,E,2203 AVENUE ROGER SALENGRO,8216.583333333334,0.0,1
48.809563,2.191133,2022,D,2 RUE DE LA BATAILLE DE STALINGRAD,1372.2954545454545,79.6,1
48.804901,2.181711,2022,E,2203 AVENUE ROGER SALENGRO,7130.75,0.0,1
48.809563,2.191133,2020,D,2 RUE DE LA BATAILLE DE STALINGRAD,1537.8636363636365,79.6,1
48.804901,2.181711,2020,E,2203 AVENUE ROGER SALENGRO,8475.083333333334,0.0,1
48.809563,2.191133,2021,D,2 RUE DE LA BATAILLE DE STALINGRAD,1557.25,79.6,1
48.809563,2.191133,2023,D,2 RUE DE LA BATAILLE DE STALINGRAD,1376.5348837209303,79.6,1
48.804901,2.181711,2021,E,2203 AVENUE ROGER SALENGRO,9196.166666666666,0.0,1
48.804901,2.181711,2023,E,2203 AVENUE ROGER SALENGRO,6699.0,0.0,1
48.764125,2.269448,2019,C,253 AVENUE DE LA DIVISION LECLERC,6039.545454545455,31.3,1
48.884403,2.354923,2019,D,3 RUE DE CHARTRES,5832.333333333333,32.0,1
48.764125,2.269448,2022,C,253 AVENUE DE LA DIVISION LECLERC,5304.060606060606,31.3,1
48.809563,2.191133,2024,D,2 RUE DE LA BATAILLE DE STALINGRAD,1414.0,79.6,1
48.80807,2.277704,2019,E,142 RUE DES ROISSYS,1578.4266666666667,69.2,1
48.795536,2.279869,2019,F,72 RUE DU PLATEAU,4038.1,101.1,1
48.804901,2.181711,2024,E,2203 AVENUE ROGER SALENGRO,6811.0,0.0,1
48.884403,2.354923,2022,D,3 RUE DE CHARTRES,5578.583333333333,32.0,1
48.764125,2.269448,2020,C,253 AVENUE DE LA DIVISION LECLERC,5938.757575757576,31.3,1
48.80807,2.277704,2022,E,142 RUE DES ROISSYS,1369.28,69.2,1
48.795536,2.279869,2022,F,72 RUE DU PLATEAU,3377.55,101.1,1
48.764125,2.269448,2021,C,253 AVENUE DE LA DIVISION LECLERC,5987.666666666667,31.3,1
48.764125,2.269448,2023,C,253 AVENUE DE LA DIVISION LECLERC,5132.5,31.3,1
48.884403,2.354923,2020,D,3 RUE DE CHARTRES,5954.0,32.0,1
48.884403,2.354923,2021,D,3 RUE DE CHARTRES,6652.25,32.0,1
48.884403,2.354923,2023,D,3 RUE DE CHARTRES,5017.0,32.0,1
48.80807,2.277704,2020,E,142 RUE DES ROISSYS,1555.32,69.2,1
48.795536,2.279869,2020,F,72 RUE DU PLATEAU,4408.105263157895,101.1,1
48.80807,2.277704,2021,E,142 RUE DES ROISSYS,1462.948051948052,69.2,1
48.795536,2.279869,2021,F,72 RUE DU PLATEAU,4254.105263157895,101.1,1
48.80807,2.277704,2023,E,142 RUE DES ROISSYS,1304.578947368421,69.2,1
48.795536,2.279869,2023,F,72 RUE DU PLATEAU,3305.7,101.1,1
48.903193,2.313759,2019,E,4 RUE MADAME DE SANZILLON,2384.904761904762,58.2,1
48.903173,2.313523,2019,D,2 RUE MADAME DE SANZILLON,4411.863636363636,39.6,1
48.901229,2.307892,2019,F,64 RUE MARTRE,2453.2,45.7,1
48.898451,2.305141,2019,F,20 CITE NOUVELLE,2353.304347826087,20.1,1
48.902265,2.309702,2022,E,22 ALLEES LEON GAMBETTA,3133.2,60.7,3
48.903193,2.313759,2022,E,4 RUE MADAME DE SANZILLON,2268.736842105264,58.2,1
48.903173,2.313523,2022,D,2 RUE MADAME DE SANZILLON,4000.0,39.6,1
48.901229,2.307892,2022,F,64 RUE MARTRE,2013.8947368421047,45.7,1
48.898451,2.305141,2022,F,20 CITE NOUVELLE,2475.8695652173915,20.1,1
48.764125,2.269448,2024,C,253 AVENUE DE LA DIVISION LECLERC,5207.5625,31.3,1
48.902265,2.309702,2023,E,22 ALLEES LEON GAMBETTA,2829.0,60.7,3
48.920392,2.247092,2019,D,49 RUE D ESTIENNE D ORVES,1723.1,53.5,1
48.903193,2.313759,2023,E,4 RUE MADAME DE SANZILLON,2312.157894736842,58.2,1
48.903173,2.313523,2023,D,2 RUE MADAME DE SANZILLON,4273.045454545455,39.6,1
48.903193,2.313759,2020,E,4 RUE MADAME DE SANZILLON,2676.428571428572,58.2,1
48.903173,2.313523,2020,D,2 RUE MADAME DE SANZILLON,4417.818181818182,39.6,1
48.901229,2.307892,2023,F,64 RUE MARTRE,2005.578947368421,45.7,1
48.884403,2.354923,2024,D,3 RUE DE CHARTRES,5181.666666666667,32.0,1
48.901229,2.307892,2020,F,64 RUE MARTRE,2473.65,45.7,1
48.902265,2.309702,2021,E,22 ALLEES LEON GAMBETTA,3636.4,60.7,3
48.903193,2.313759,2021,E,4 RUE MADAME DE SANZILLON,2501.04761904762,58.2,1
48.903173,2.313523,2021,D,2 RUE MADAME DE SANZILLON,4971.136363636364,39.6,1
48.898451,2.305141,2020,F,20 CITE NOUVELLE,2472.2916666666665,20.1,1
48.898451,2.305141,2023,F,20 CITE NOUVELLE,2321.7391304347825,20.1,1
48.901229,2.307892,2021,F,64 RUE MARTRE,2439.75,45.7,1
48.898451,2.305141,2021,F,20 CITE NOUVELLE,2628.4166666666665,20.1,1
48.92289,2.256407,2019,D,66 RUE DU BOURNARD,2070.7631578947367,60.8,1
48.920562,2.259935,2019,E,104 RUE DU MARECHAL JOFFRE,1905.821428571429,61.2,1
48.80807,2.277704,2024,E,142 RUE DES ROISSYS,1281.0,69.2,1
48.795536,2.279869,2024,F,72 RUE DU PLATEAU,3192.4,101.1,1
48.920392,2.247092,2022,D,49 RUE D ESTIENNE D ORVES,1759.9,53.5,1
48.91721,2.258138,2019,D,34 RUE PIERRE GEOFROIX,3406.6363636363635,33.2,1
48.92289,2.256407,2022,D,66 RUE DU BOURNARD,1734.0,60.8,1
48.920562,2.259935,2022,E,104 RUE DU MARECHAL JOFFRE,2118.8076923076924,61.2,1
48.933352,2.256366,2022,C,5 RUE ESTELLE ROUAT,1407.896551724138,65.8,1
48.91721,2.258138,2022,D,34 RUE PIERRE GEOFROIX,3095.909090909091,33.2,1
48.920392,2.247092,2020,D,49 RUE D ESTIENNE D ORVES,1798.5,53.5,1
48.920392,2.247092,2023,D,49 RUE D ESTIENNE D ORVES,1685.4,53.5,1
48.920392,2.247092,2021,D,49 RUE D ESTIENNE D ORVES,1962.9,53.5,1
48.92289,2.256407,2020,D,66 RUE DU BOURNARD,2191.368421052632,60.8,1
48.920562,2.259935,2020,E,104 RUE DU MARECHAL JOFFRE,2144.418181818182,61.2,1
48.92289,2.256407,2023,D,66 RUE DU BOURNARD,1687.9473684210525,60.8,1
48.920562,2.259935,2023,E,104 RUE DU MARECHAL JOFFRE,2110.8846153846152,61.2,1
48.92289,2.256407,2021,D,66 RUE DU BOURNARD,1866.684210526316,60.8,1
48.933352,2.256366,2023,C,5 RUE ESTELLE ROUAT,1786.3666666666666,65.8,1
48.920562,2.259935,2021,E,104 RUE DU MARECHAL JOFFRE,2104.109090909091,61.2,1
48.91721,2.258138,2020,D,34 RUE PIERRE GEOFROIX,3507.181818181818,33.2,1
48.91721,2.258138,2023,D,34 RUE PIERRE GEOFROIX,3240.6363636363635,33.2,1
48.91721,2.258138,2021,D,34 RUE PIERRE GEOFROIX,3431.181818181818,33.2,1
48.89322,2.252783,2019,C,16 RUE DE BEZONS,2658.928571428572,58.0,1
48.897963,2.253935,2019,D,1 RUE DU PRESIDENT KRUGER,3229.75,63.5,1
48.901026,2.269807,2019,D,11 RUE EDITH CAVELL,5675.65625,94.3,1
48.89322,2.252783,2022,C,16 RUE DE BEZONS,2427.969696969697,58.0,1
48.897155,2.237974,2019,C,51 AVENUE LEONARD DE VINCI,1558.8955223880596,60.1,1
48.897636,2.251999,2019,E,12 RUE PIERRE LHOMME,1756.0540540540542,22.9,1
48.901969,2.273053,2019,D,255 BOULEVARD SAINT DENIS,1967.0980392156864,45.7,1
48.901561,2.27235,2019,E,192 BOULEVARD SAINT DENIS,1924.28,68.1,1
48.902265,2.309702,2024,E,22 ALLEES LEON GAMBETTA,2868.3,60.7,3
48.897963,2.253935,2022,D,1 RUE DU PRESIDENT KRUGER,2545.3571428571427,63.5,1
48.903193,2.313759,2024,E,4 RUE MADAME DE SANZILLON,2197.714285714286,58.2,1
48.903173,2.313523,2024,D,2 RUE MADAME DE SANZILLON,3466.1739130434785,39.6,1
48.901026,2.269807,2022,D,11 RUE EDITH CAVELL,4867.09375,94.3,1
48.901229,2.307892,2024,F,64 RUE MARTRE,2236.0,45.7,1
48.898451,2.305141,2024,F,20 CITE NOUVELLE,2401.695652173913,20.1,1
48.897155,2.237974,2022,C,51 AVENUE LEONARD DE VINCI,1360.3731343283582,60.1,1
48.89322,2.252783,2020,C,16 RUE DE BEZONS,2577.673469387755,58.0,1
48.89322,2.252783,2023,C,16 RUE DE BEZONS,2432.381443298969,58.0,1
48.897636,2.251999,2022,E,12 RUE PIERRE LHOMME,1604.111111111111,22.9,1
48.89322,2.252783,2021,C,16 RUE DE BEZONS,2696.49,58.0,1
48.901969,2.273053,2022,D,255 BOULEVARD SAINT DENIS,1711.0196078431372,45.7,1
